top left x,top left y,bottom right x,bottom right y,angle,distance
44.25,31.25,119.25,106.25,-25.3008849558,77.7046805917
72.75,31.25,147.75,106.25,-22.2743362832,76.0397095892
21.75,31.25,96.75,106.25,-27.6902654867,79.1398290255
43.75,31.25,118.75,106.25,-25.3539823009,77.7354421499
64.75,31.25,139.75,106.25,-23.1238938053,76.4892377582
82.5,31.25,157.5,106.25,-21.2389380531,75.5112058159
83.75,31.25,158.75,106.25,-21.1061946903,75.4450081324
15.25,31.25,90.25,106.25,-28.3805309735,79.57335722
83,31.25,158,106.25,-21.185840708,75.4846839094
40.25,31.25,115.25,106.25,-25.7256637168,77.9522335071
13.5,31.25,88.5,106.25,-28.5663716814,79.6914894778
18.5,31.25,93.5,106.25,-28.0353982301,79.3555549149
34.25,31.25,109.25,106.25,-26.3628318584,78.3297747117
32.5,31.25,107.5,106.25,-26.5486725664,78.4412818189
75.25,31.25,150.25,106.25,-22.0088495575,75.9021529057
8.25,31.25,83.25,106.25,-29.1238938053,80.0494423925
78.5,31.25,153.5,106.25,-21.6637168142,75.7254294726
49.75,31.25,124.75,106.25,-24.7168141593,77.3697719002
11.5,31.25,86.5,106.25,-28.7787610619,79.8272255229
15.5,31.25,90.5,106.25,-28.3539823009,79.5565298648
39,31.25,114,106.25,-25.8584070796,78.030275796
83.5,31.25,158.5,106.25,-21.1327433628,75.4582191036
24.5,31.25,99.5,106.25,-27.3982300885,78.9589261661
31.75,31.25,106.75,106.25,-26.6283185841,78.4892615513
10.75,31.25,85.75,106.25,-28.8584070796,79.8783259066
71.25,31.25,146.25,106.25,-22.4336283186,76.1229144013
36.75,31.25,111.75,106.25,-26.0973451327,78.1715654241
38.25,31.25,113.25,106.25,-25.9380530973,78.0772563097
32.25,31.25,107.25,106.25,-26.5752212389,78.4572623523
1.25,31.25,76.25,106.25,-29.8672566372,80.5349118944
22.5,31.25,97.5,106.25,-27.610619469,79.090342801
28.75,31.25,103.75,106.25,-26.9469026549,78.6823211847
72,31.25,147,106.25,-22.3539823009,76.0812492561
54.5,31.25,129.5,106.25,-24.2123893805,77.0856931475
42.5,31.25,117.5,106.25,-25.4867256637,77.8125746485
7.5,31.25,82.5,106.25,-29.203539823,80.1010110986
65.5,31.25,140.5,106.25,-23.0442477876,76.4464937773
22.75,31.25,97.75,106.25,-27.5840707965,79.0738722035
6.25,31.25,81.25,106.25,-29.3362831858,80.1871977719
66.75,31.25,141.75,106.25,-22.9115044248,76.3755287744
31.25,31.25,106.25,106.25,-26.6814159292,78.5213115415
58.75,31.25,133.75,106.25,-23.7610619469,76.8356174914
23.25,31.25,98.25,106.25,-27.5309734513,79.0409682709
74.5,31.25,149.5,106.25,-22.0884955752,75.9432728265
0,31.25,75,106.25,-30,80.622577483
40.5,31.25,115.5,106.25,-25.6991150442,77.9366639044
60.75,31.25,135.75,106.25,-23.5486725664,76.7192860544
27.75,31.25,102.75,106.25,-27.0530973451,78.7470784047
69.5,31.25,144.5,106.25,-22.6194690265,76.2206198878
65,31.25,140,106.25,-23.0973451327,76.4749760342
68.5,31.25,143.5,106.25,-22.7256637168,76.2767568077
47,31.25,122,106.25,-25.0088495575,77.5364293585
34,31.25,109,106.25,-26.389380531,78.3456660341
56.75,31.25,131.75,106.25,-23.9734513274,76.9528151942
36,31.25,111,106.25,-26.1769911504,78.218893605
40.75,31.25,115.75,106.25,-25.6725663717,77.9211072715
52.5,31.25,127.5,106.25,-24.4247787611,77.2047185377
72.5,31.25,147.5,106.25,-22.3008849558,76.0535421901
33.25,31.25,108.25,106.25,-26.4690265487,78.3934165766
7.75,31.25,82.75,106.25,-29.1769911504,80.083809573
74.25,31.25,149.25,106.25,-22.1150442478,75.9570075132
69.5,31.25,144.5,106.25,-22.6194690265,76.2206198878
39.25,31.25,114.25,106.25,-25.8318584071,78.0146414607
14.25,31.25,89.25,106.25,-28.4867256637,79.6407884222
68.25,31.25,143.25,106.25,-22.7522123894,76.2908256446
52.25,31.25,127.25,106.25,-24.4513274336,77.2196568327
37.25,31.25,112.25,106.25,-26.0442477876,78.1400775567
69.75,31.25,144.75,106.25,-22.592920354,76.2066203029
29,31.25,104,106.25,-26.9203539823,78.6661633716
71.5,31.25,146.5,106.25,-22.407079646,76.1090120903
81.25,31.25,156.25,106.25,-21.3716814159,75.5777600038
17,31.25,92,106.25,-28.1946902655,79.4558220695
42.5,31.25,117.5,106.25,-25.4867256637,77.8125746485
19,31.25,94,106.25,-27.982300885,79.3222307393
60,31.25,135,106.25,-23.6283185841,76.7628085771
75.75,31.25,150.75,106.25,-21.9557522124,75.8748098174
2.75,31.25,77.75,106.25,-29.7079646018,80.4301011731
61.25,31.25,136.25,106.25,-23.4955752212,76.6903390117
65,31.25,140,106.25,-23.0973451327,76.4749760342
45,31.25,120,106.25,-25.2212389381,77.6586364211
0.5,31.25,75.5,106.25,-29.9469026549,80.5874760451
7.5,31.25,82.5,106.25,-29.203539823,80.1010110986
52.75,31.25,127.75,106.25,-24.3982300885,77.189793585
75.5,31.25,150.5,106.25,-21.982300885,75.8884743373
46,31.25,121,106.25,-25.1150442478,77.5974277646
64.25,31.25,139.25,106.25,-23.1769911504,76.517802359
35.25,31.25,110.25,106.25,-26.2566371681,78.2663372552
53,31.25,128,106.25,-24.3716814159,77.1748819822
21.75,31.25,96.75,106.25,-27.6902654867,79.1398290255
54.75,31.25,129.75,106.25,-24.185840708,77.0708752109
25.5,31.25,100.5,106.25,-27.2920353982,78.8935169417
70.5,31.25,145.5,106.25,-22.5132743363,76.164704819
18,31.25,93,106.25,-28.0884955752,79.3889282365
19,31.25,94,106.25,-27.982300885,79.3222307393
21,31.25,96,106.25,-27.7699115044,79.1894267349
57.5,31.25,132.5,106.25,-23.8938053097,76.9087647908
50.5,31.25,125.5,106.25,-24.6371681416,77.3245978289
24,31.25,99,106.25,-27.4513274336,78.9917056447
70.25,31.25,145.25,106.25,-22.5398230088,76.1786627609
6.25,31.25,81.25,106.25,-29.3362831858,80.1871977719
62.25,31.25,137.25,106.25,-23.389380531,76.6326083379
22,31.25,97,106.25,-27.6637168142,79.1233212197
49.5,31.25,124.5,106.25,-24.7433628319,77.3848564483
35,31.25,110,106.25,-26.2831858407,78.2821774288
83,31.25,158,106.25,-21.185840708,75.4846839094
21,31.25,96,106.25,-27.7699115044,79.1894267349
5.5,31.25,80.5,106.25,-29.4159292035,80.2390527352
67.25,31.25,142.25,106.25,-22.8584070796,76.3472391901
64.75,31.25,139.75,106.25,-23.1238938053,76.4892377582
42.25,31.25,117.25,106.25,-25.5132743363,77.8280402752
42,31.25,117,106.25,-25.5398230088,77.8435189261
56.25,31.25,131.25,106.25,-24.0265486726,76.9822495109
31.5,31.25,106.5,106.25,-26.6548672566,78.5052802014
19.75,31.25,94.75,106.25,-27.9026548673,79.2723367598
33.25,31.25,108.25,106.25,-26.4690265487,78.3934165766
83,31.25,158,106.25,-21.185840708,75.4846839094
22,31.25,97,106.25,-27.6637168142,79.1233212197
33.5,31.25,108.5,106.25,-26.4424778761,78.3774869743
44.25,31.25,119.25,106.25,-25.3008849558,77.7046805917
0,31.25,75,106.25,-30,80.622577483
67.25,31.25,142.25,106.25,-22.8584070796,76.3472391901
60.75,31.25,135.75,106.25,-23.5486725664,76.7192860544
78.75,31.25,153.75,106.25,-21.6371681416,75.7119341268
28.5,31.25,103.5,106.25,-26.9734513274,78.6984916022
24.75,31.25,99.75,106.25,-27.3716814159,78.9425551317
69.75,31.25,144.75,106.25,-22.592920354,76.2066203029
70.5,31.25,145.5,106.25,-22.5132743363,76.164704819
12.25,31.25,87.25,106.25,-28.6991150442,79.7762337689
41,31.25,116,106.25,-25.6460176991,77.9055636162
8,31.25,83,106.25,-29.1504424779,80.0666200017
54.25,31.25,129.25,106.25,-24.2389380531,77.1005244881
4.5,31.25,79.5,106.25,-29.5221238938,80.3083590413
22,31.25,97,106.25,-27.6637168142,79.1233212197
10.75,31.25,85.75,106.25,-28.8584070796,79.8783259066
67.75,31.25,142.75,106.25,-22.8053097345,76.319004793
41,31.25,116,106.25,-25.6460176991,77.9055636162
35.25,31.25,110.25,106.25,-26.2566371681,78.2663372552
53.5,31.25,128.5,106.25,-24.3185840708,77.1450988573
64.75,31.25,139.75,106.25,-23.1238938053,76.4892377582
12.25,31.25,87.25,106.25,-28.6991150442,79.7762337689
62.75,31.25,137.75,106.25,-23.3362831858,76.6038248297
63,31.25,138,106.25,-23.3097345133,76.5894535598
78,31.25,153,106.25,-21.7168141593,75.7524625751
24.5,31.25,99.5,106.25,-27.3982300885,78.9589261661
74.5,31.25,149.5,106.25,-22.0884955752,75.9432728265
2.25,31.25,77.25,106.25,-29.7610619469,80.4649909597
29,31.25,104,106.25,-26.9203539823,78.6661633716
83.5,31.25,158.5,106.25,-21.1327433628,75.4582191036
46.25,31.25,121.25,106.25,-25.0884955752,77.5821584327
38,31.25,113,106.25,-25.9646017699,78.0929422911
14.25,31.25,89.25,106.25,-28.4867256637,79.6407884222
60.75,31.25,135.75,106.25,-23.5486725664,76.7192860544
56.75,31.25,131.75,106.25,-23.9734513274,76.9528151942
10,31.25,85,106.25,-28.9380530973,79.9295347117
20.25,31.25,95.25,106.25,-27.8495575221,79.23913572
38.5,31.25,113.5,106.25,-25.9115044248,78.0615832282
21,31.25,96,106.25,-27.7699115044,79.1894267349
45.25,31.25,120.25,106.25,-25.1946902655,77.6433145732
60.5,31.25,135.5,106.25,-23.5752212389,76.7337799751
50.5,31.25,125.5,106.25,-24.6371681416,77.3245978289
16.75,31.25,91.75,106.25,-28.2212389381,79.4725761471
9.75,31.25,84.75,106.25,-28.9646017699,79.946628371
57.5,31.25,132.5,106.25,-23.8938053097,76.9087647908
83.25,31.25,158.25,106.25,-21.1592920354,75.4714443651
50.5,31.25,125.5,106.25,-24.6371681416,77.3245978289
28.25,31.25,103.25,106.25,-27,78.7146746166
2,31.25,77,106.25,-29.7876106195,80.4824535347
41.25,31.25,116.25,106.25,-25.6194690265,77.8900329462
68.75,31.25,143.75,106.25,-22.6991150442,76.2627018059
67.75,31.25,142.75,106.25,-22.8053097345,76.319004793
42.5,31.25,117.5,106.25,-25.4867256637,77.8125746485
64.75,31.25,139.75,106.25,-23.1238938053,76.4892377582
49.25,31.25,124.25,106.25,-24.7699115044,77.3999542456
51.5,31.25,126.5,106.25,-24.5309734513,77.2645516935
50.25,31.25,125.25,106.25,-24.6637168142,77.3396425827
23,31.25,98,106.25,-27.5575221239,79.0574140242
1.75,31.25,76.75,106.25,-29.814159292,80.4999278872
52.25,31.25,127.25,106.25,-24.4513274336,77.2196568327
17.75,31.25,92.75,106.25,-28.1150442478,79.4056333076
67.5,31.25,142.5,106.25,-22.8318584071,76.3331150893
48.25,31.25,123.25,106.25,-24.8761061947,77.4604777724
79.5,31.25,154.5,106.25,-21.5575221239,75.6715330021
30,31.25,105,106.25,-26.814159292,78.6016583205
65.25,31.25,140.25,106.25,-23.0707964602,76.460728038
18.75,31.25,93.75,106.25,-28.0088495575,79.33888668
84.25,31.25,159.25,106.25,-21.0530973451,75.4186290906
27.75,31.25,102.75,106.25,-27.0530973451,78.7470784047
23,31.25,98,106.25,-27.5575221239,79.0574140242
8.75,31.25,83.75,106.25,-29.0707964602,80.0151230909
68.75,31.25,143.75,106.25,-22.6991150442,76.2627018059
69.75,31.25,144.75,106.25,-22.592920354,76.2066203029
0.5,31.25,75.5,106.25,-29.9469026549,80.5874760451
44.5,31.25,119.5,106.25,-25.2743362832,77.6893194382
0,31.25,75,106.25,-30,80.622577483
23.25,31.25,98.25,106.25,-27.5309734513,79.0409682709
47.75,31.25,122.75,106.25,-24.9292035398,77.4908188297
60.25,31.25,135.25,106.25,-23.6017699115,76.7482874853
70.75,31.25,145.75,106.25,-22.4867256637,76.1507607733
66.5,31.25,141.5,106.25,-22.9380530973,76.3896942426
51.75,31.25,126.75,106.25,-24.5044247788,77.2495734183
22.5,31.25,97.5,106.25,-27.610619469,79.090342801
0.5,31.25,75.5,106.25,-29.9469026549,80.5874760451
13,31.25,88,106.25,-28.6194690265,79.7253508531
41.5,31.25,116.5,106.25,-25.592920354,77.8745152693
75.75,31.25,150.75,106.25,-21.9557522124,75.8748098174
19,31.25,94,106.25,-27.982300885,79.3222307393
50.75,31.25,125.75,106.25,-24.610619469,77.3095663553
36.75,31.25,111.75,106.25,-26.0973451327,78.1715654241
17.25,31.25,92.25,106.25,-28.1681415929,79.4390802319
65.5,31.25,140.5,106.25,-23.0442477876,76.4464937773
68,31.25,143,106.25,-22.7787610619,76.3049083089
57.5,31.25,132.5,106.25,-23.8938053097,76.9087647908
80.5,31.25,155.5,106.25,-21.4513274336,75.6178632472
30.5,31.25,105.5,106.25,-26.7610619469,78.5694816243
56.75,31.25,131.75,106.25,-23.9734513274,76.9528151942
69,31.25,144,106.25,-22.6725663717,76.2486606469
0.25,31.25,75.25,106.25,-29.9734513274,80.6050209021
1,31.25,76,106.25,-29.8938053097,80.5524215336
9,31.25,84,106.25,-29.0442477876,79.997981414
10,31.25,85,106.25,-28.9380530973,79.9295347117
77.75,31.25,152.75,106.25,-21.7433628319,75.7660003166
3,31.25,78,106.25,-29.6814159292,80.4126739769
32.5,31.25,107.5,106.25,-26.5486725664,78.4412818189
29.75,31.25,104.75,106.25,-26.8407079646,78.6177656376
30.75,31.25,105.75,106.25,-26.7345132743,78.5534122607
59.25,31.25,134.25,106.25,-23.7079646018,76.8064532654
69.5,31.25,144.5,106.25,-22.6194690265,76.2206198878
56.75,31.25,131.75,106.25,-23.9734513274,76.9528151942
27.75,31.25,102.75,106.25,-27.0530973451,78.7470784047
18.75,31.25,93.75,106.25,-28.0088495575,79.33888668
0,31.25,75,106.25,-30,80.622577483
41.25,31.25,116.25,106.25,-25.6194690265,77.8900329462
67,31.25,142,106.25,-22.8849557522,76.3613770876
17,31.25,92,106.25,-28.1946902655,79.4558220695
56,31.25,131,106.25,-24.0530973451,76.9969868605
66,31.25,141,106.25,-22.9911504425,76.418066493
50.75,31.25,125.75,106.25,-24.610619469,77.3095663553
29,31.25,104,106.25,-26.9203539823,78.6661633716
81.5,31.25,156.5,106.25,-21.3451327434,75.564420691
23,31.25,98,106.25,-27.5575221239,79.0574140242
10,31.25,85,106.25,-28.9380530973,79.9295347117
68.5,31.25,143.5,106.25,-22.7256637168,76.2767568077
67.5,31.25,142.5,106.25,-22.8318584071,76.3331150893
26,31.25,101,106.25,-27.2389380531,78.8608873201
14.75,31.25,89.75,106.25,-28.4336283186,79.6070484803
25.75,31.25,100.75,106.25,-27.2654867257,78.8771958752
69.5,31.25,144.5,106.25,-22.6194690265,76.2206198878
39.5,31.25,114.5,106.25,-25.8053097345,77.9990200565
34.75,31.25,109.75,106.25,-26.3097345133,78.2980304013
75.5,31.25,150.5,106.25,-21.982300885,75.8884743373
33.25,31.25,108.25,106.25,-26.4690265487,78.3934165766
25.5,31.25,100.5,106.25,-27.2920353982,78.8935169417
45.5,31.25,120.5,106.25,-25.1681415929,77.6280058426
8.75,31.25,83.75,106.25,-29.0707964602,80.0151230909
7,31.25,82,106.25,-29.2566371681,80.1354499819
45,31.25,120,106.25,-25.2212389381,77.6586364211
64.5,31.25,139.5,106.25,-23.1504424779,76.5035132024
56.75,31.25,131.75,106.25,-23.9734513274,76.9528151942
1,31.25,76,106.25,-29.8938053097,80.5524215336
39.25,31.25,114.25,106.25,-25.8318584071,78.0146414607
30.5,31.25,105.5,106.25,-26.7610619469,78.5694816243
81.25,31.25,156.25,106.25,-21.3716814159,75.5777600038
69.5,31.25,144.5,106.25,-22.6194690265,76.2206198878
70.25,31.25,145.25,106.25,-22.5398230088,76.1786627609
77.5,31.25,152.5,106.25,-21.7699115044,75.779552175
2.5,31.25,77.5,106.25,-29.7345132743,80.44754017
58.75,31.25,133.75,106.25,-23.7610619469,76.8356174914
65.75,31.25,140.75,106.25,-23.017699115,76.4322732597
43.5,31.25,118.5,106.25,-25.3805309735,77.7508425391
78,31.25,153,106.25,-21.7168141593,75.7524625751
17.5,31.25,92.5,106.25,-28.1415929204,79.422350642
27.5,31.25,102.5,106.25,-27.0796460177,78.7632991628
54.5,31.25,129.5,106.25,-24.2123893805,77.0856931475
26.5,31.25,101.5,106.25,-27.185840708,78.828307775
76.25,31.25,151.25,106.25,-21.9026548673,75.8475229536
83.5,31.25,158.5,106.25,-21.1327433628,75.4582191036
56.75,31.25,131.75,106.25,-23.9734513274,76.9528151942
29.75,31.25,104.75,106.25,-26.8407079646,78.6177656376
5.5,31.25,80.5,106.25,-29.4159292035,80.2390527352
52,31.25,127,106.25,-24.4778761062,77.2346084622
72,31.25,147,106.25,-22.3539823009,76.0812492561
50.5,31.25,125.5,106.25,-24.6371681416,77.3245978289
43.5,31.25,118.5,106.25,-25.3805309735,77.7508425391
31.75,31.25,106.75,106.25,-26.6283185841,78.4892615513
37.5,31.25,112.5,106.25,-26.017699115,78.1243529224
40.25,31.25,115.25,106.25,-25.7256637168,77.9522335071
73.25,31.25,148.25,106.25,-22.2212389381,76.0120862897
11.75,31.25,86.75,106.25,-28.7522123894,79.8102161913
55,31.25,130,106.25,-24.1592920354,77.0560706862
83.75,31.25,158.75,106.25,-21.1061946903,75.4450081324
8.25,31.25,83.25,106.25,-29.1238938053,80.0494423925
26.25,31.25,101.25,106.25,-27.2123893805,78.8445912841
35.5,31.25,110.5,106.25,-26.2300884956,78.2505098881
7.75,31.25,82.75,106.25,-29.1769911504,80.083809573
27,31.25,102,106.25,-27.1327433628,78.7957783685
1,31.25,76,106.25,-29.8938053097,80.5524215336
42.75,31.25,117.75,106.25,-25.4601769912,77.7971220538
81,31.25,156,106.25,-21.3982300885,75.5911135391
48.5,31.25,123.5,106.25,-24.8495575221,77.4453270556
64.75,31.25,139.75,106.25,-23.1238938053,76.4892377582
80.75,31.25,155.75,106.25,-21.4247787611,75.6044812894
35.5,31.25,110.5,106.25,-26.2300884956,78.2505098881
9.25,31.25,84.25,106.25,-29.017699115,79.9808517299
47,31.25,122,106.25,-25.0088495575,77.5364293585
34.75,31.25,109.75,106.25,-26.3097345133,78.2980304013
82.5,31.25,157.5,106.25,-21.2389380531,75.5112058159
49,31.25,124,106.25,-24.796460177,77.4150652844
32,31.25,107,106.25,-26.6017699115,78.473255599
68.5,31.25,143.5,106.25,-22.7256637168,76.2767568077
14.75,31.25,89.75,106.25,-28.4336283186,79.6070484803
35.25,31.25,110.25,106.25,-26.2566371681,78.2663372552
24.5,31.25,99.5,106.25,-27.3982300885,78.9589261661
4.25,31.25,79.25,106.25,-29.5486725664,80.3257152729
57.25,31.25,132.25,106.25,-23.9203539823,76.9234347721
61.25,31.25,136.25,106.25,-23.4955752212,76.6903390117
73.25,31.25,148.25,106.25,-22.2212389381,76.0120862897
61.25,31.25,136.25,106.25,-23.4955752212,76.6903390117
80.25,31.25,155.25,106.25,-21.4778761062,75.6312594049
47.5,31.25,122.5,106.25,-24.9557522124,77.5060091547
53.75,31.25,128.75,106.25,-24.2920353982,77.1302273508
80.5,31.25,155.5,106.25,-21.4513274336,75.6178632472
25,31.25,100,106.25,-27.3451327434,78.9261965777
73.5,31.25,148.5,106.25,-22.1946902655,75.9982956064
32.75,31.25,107.75,106.25,-26.5221238938,78.4253140067
73.75,31.25,148.75,106.25,-22.1681415929,75.9845189108
15.25,31.25,90.25,106.25,-28.3805309735,79.57335722
7,31.25,82,106.25,-29.2566371681,80.1354499819
60.5,31.25,135.5,106.25,-23.5752212389,76.7337799751
67.5,31.25,142.5,106.25,-22.8318584071,76.3331150893
54.25,31.25,129.25,106.25,-24.2389380531,77.1005244881
65.75,31.25,140.75,106.25,-23.017699115,76.4322732597
55.5,31.25,130.5,106.25,-24.1061946903,77.0265019033
10.5,31.25,85.5,106.25,-28.8849557522,79.8953834718
35.75,31.25,110.75,106.25,-26.203539823,78.2346953355
64.25,31.25,139.25,106.25,-23.1769911504,76.517802359
18.25,31.25,93.25,106.25,-28.0619469027,79.3722354364
64,31.25,139,106.25,-23.203539823,76.5321052203
26.75,31.25,101.75,106.25,-27.1592920354,78.8120368005
53,31.25,128,106.25,-24.3716814159,77.1748819822
59.25,31.25,134.25,106.25,-23.7079646018,76.8064532654
73.25,31.25,148.25,106.25,-22.2212389381,76.0120862897
22.75,31.25,97.75,106.25,-27.5840707965,79.0738722035
52.75,31.25,127.75,106.25,-24.3982300885,77.189793585
79.5,31.25,154.5,106.25,-21.5575221239,75.6715330021
9,31.25,84,106.25,-29.0442477876,79.997981414
77,31.25,152,106.25,-21.8230088496,75.8066982118
54.5,31.25,129.5,106.25,-24.2123893805,77.0856931475
41.75,31.25,116.75,106.25,-25.5663716814,77.8590105934
5.75,31.25,80.75,106.25,-29.389380531,80.2217558521
48.25,31.25,123.25,106.25,-24.8761061947,77.4604777724
32.75,31.25,107.75,106.25,-26.5221238938,78.4253140067
59,31.25,134,106.25,-23.7345132743,76.8210286068
23,31.25,98,106.25,-27.5575221239,79.0574140242
59.25,31.25,134.25,106.25,-23.7079646018,76.8064532654
29.25,31.25,104.25,106.25,-26.8938053097,78.6500181709
46,31.25,121,106.25,-25.1150442478,77.5974277646
74.75,31.25,149.75,106.25,-22.0619469027,75.929552158
12.25,31.25,87.25,106.25,-28.6991150442,79.7762337689
68.5,31.25,143.5,106.25,-22.7256637168,76.2767568077
43,31.25,118,106.25,-25.4336283186,77.7816824988
83.25,31.25,158.25,106.25,-21.1592920354,75.4714443651
84.75,31.25,159.75,106.25,-21,75.3923072999
52.5,31.25,127.5,106.25,-24.4247787611,77.2047185377
73.25,31.25,148.25,106.25,-22.2212389381,76.0120862897
9.5,31.25,84.5,106.25,-28.9911504425,79.9637340463
81.25,31.25,156.25,106.25,-21.3716814159,75.5777600038
27.75,31.25,102.75,106.25,-27.0530973451,78.7470784047
41.25,31.25,116.25,106.25,-25.6194690265,77.8900329462
12,31.25,87,106.25,-28.7256637168,79.7932189374
70.25,31.25,145.25,106.25,-22.5398230088,76.1786627609
14.75,31.25,89.75,106.25,-28.4336283186,79.6070484803
23,31.25,98,106.25,-27.5575221239,79.0574140242
38.5,31.25,113.5,106.25,-25.9115044248,78.0615832282
68.5,31.25,143.5,106.25,-22.7256637168,76.2767568077
59,31.25,134,106.25,-23.7345132743,76.8210286068
80.25,31.25,155.25,106.25,-21.4778761062,75.6312594049
1,31.25,76,106.25,-29.8938053097,80.5524215336
82,31.25,157,106.25,-21.2920353982,75.5377847632
38.75,31.25,113.75,106.25,-25.8849557522,78.0459230544
57.75,31.25,132.75,106.25,-23.8672566372,76.8941083064
51,31.25,126,106.25,-24.5840707965,77.2945481697
39.75,31.25,114.75,106.25,-25.7787610619,77.9834115909
37.25,31.25,112.25,106.25,-26.0442477876,78.1400775567
42.5,31.25,117.5,106.25,-25.4867256637,77.8125746485
79.5,31.25,154.5,106.25,-21.5575221239,75.6715330021
78.5,31.25,153.5,106.25,-21.6637168142,75.7254294726
47,31.25,122,106.25,-25.0088495575,77.5364293585
12.75,31.25,87.75,106.25,-28.6460176991,79.742299719
54.75,31.25,129.75,106.25,-24.185840708,77.0708752109
79.5,31.25,154.5,106.25,-21.5575221239,75.6715330021
53.75,31.25,128.75,106.25,-24.2920353982,77.1302273508
12.25,31.25,87.25,106.25,-28.6991150442,79.7762337689
73.75,31.25,148.75,106.25,-22.1681415929,75.9845189108
46.75,31.25,121.75,106.25,-25.0353982301,77.5516592219
19,31.25,94,106.25,-27.982300885,79.3222307393
20.5,31.25,95.5,106.25,-27.8230088496,79.2225537072
33.5,31.25,108.5,106.25,-26.4424778761,78.3774869743
53.5,31.25,128.5,106.25,-24.3185840708,77.1450988573
44,31.25,119,106.25,-25.3274336283,77.7200548315
11.5,31.25,86.5,106.25,-28.7787610619,79.8272255229
47.5,31.25,122.5,106.25,-24.9557522124,77.5060091547
40,31.25,115,106.25,-25.7522123894,77.9678160719
51.75,31.25,126.75,106.25,-24.5044247788,77.2495734183
32.75,31.25,107.75,106.25,-26.5221238938,78.4253140067
76.25,31.25,151.25,106.25,-21.9026548673,75.8475229536
79,31.25,154,106.25,-21.610619469,75.6984529281
77.25,31.25,152.25,106.25,-21.796460177,75.7931181426
32.25,31.25,107.25,106.25,-26.5752212389,78.4572623523
36,31.25,111,106.25,-26.1769911504,78.218893605
81.5,31.25,156.5,106.25,-21.3451327434,75.564420691
39.25,31.25,114.25,106.25,-25.8318584071,78.0146414607
39.5,31.25,114.5,106.25,-25.8053097345,77.9990200565
35.5,31.25,110.5,106.25,-26.2300884956,78.2505098881
40,31.25,115,106.25,-25.7522123894,77.9678160719
22.75,31.25,97.75,106.25,-27.5840707965,79.0738722035
2.25,31.25,77.25,106.25,-29.7610619469,80.4649909597
7,31.25,82,106.25,-29.2566371681,80.1354499819
2.5,31.25,77.5,106.25,-29.7345132743,80.44754017
18.5,31.25,93.5,106.25,-28.0353982301,79.3555549149
31.75,31.25,106.75,106.25,-26.6283185841,78.4892615513
84.5,31.25,159.5,106.25,-21.0265486726,75.4054610351
58.75,31.25,133.75,106.25,-23.7610619469,76.8356174914
74.5,31.25,149.5,106.25,-22.0884955752,75.9432728265
74,31.25,149,106.25,-22.1415929204,75.9707562105
77.25,31.25,152.25,106.25,-21.796460177,75.7931181426
30.75,31.25,105.75,106.25,-26.7345132743,78.5534122607
9.75,31.25,84.75,106.25,-28.9646017699,79.946628371
64.25,31.25,139.25,106.25,-23.1769911504,76.517802359
